MagpieData mean Number,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData mean MendeleevNumber,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData mean AtomicWeight,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData mean MeltingT,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData mean Column,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData mean Row,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData mean CovalentRadius,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData mean Electronegativity,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData mean NsValence,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData mean NpValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData mean NdValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData mean NfValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData mean NValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData mean NsUnfilled,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData mean NpUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData mean NdUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData mean NfUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData mean NUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData mean GSvolume_pa,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData mean GSbandgap,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData mean GSmagmom,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData mean SpaceGroupNumber,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber
12.857142857142858,9.0,32.0,23.0,5.469387755102042,9.0,65.0,2.0,93.0,91.0,36.0,93.0,27.801878765714285,18.9984032,72.64,53.6415968,12.81089178122449,18.9984032,309.5914285714286,53.5,1211.4,1157.9,292.6759183673469,53.5,12.0,1.0,17.0,16.0,6.285714285714286,17.0,2.5714285714285716,2.0,4.0,2.0,0.6530612244897959,2.0,97.14285714285714,57.0,166.0,109.0,45.877551020408156,57.0,2.827142857142857,0.93,3.98,3.05,1.3175510204081633,3.98,1.7142857142857142,1.0,2.0,1.0,0.4081632653061225,2.0,3.142857142857143,0.0,5.0,5.0,2.122448979591837,5.0,1.4285714285714286,0.0,10.0,10.0,2.4489795918367347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.285714285714286,1.0,14.0,13.0,3.020408163265306,7.0,0.2857142857142857,0.0,1.0,1.0,0.40816326530612246,0.0,1.1428571428571428,0.0,4.0,4.0,0.8163265306122448,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4285714285714286,1.0,4.0,3.0,0.7346938775510203,1.0,17.1888095238,9.7075,29.2433333333,19.5358333333,8.5500680272,9.7075,1.1804285714285714,0.0,1.97,1.97,0.9023673469387755,1.97,0.0,0.0,0.0,0.0,0.0,0.0,106.14285714285714,15.0,229.0,214.0,104.16326530612244
12.857142857142858,9.0,32.0,23.0,5.469387755102042,9.0,65.0,2.0,93.0,91.0,36.0,93.0,27.801878765714285,18.9984032,72.64,53.6415968,12.81089178122449,18.9984032,309.5914285714286,53.5,1211.4,1157.9,292.6759183673469,53.5,12.0,1.0,17.0,16.0,6.285714285714286,17.0,2.5714285714285716,2.0,4.0,2.0,0.6530612244897959,2.0,97.14285714285714,57.0,166.0,109.0,45.877551020408156,57.0,2.827142857142857,0.93,3.98,3.05,1.3175510204081633,3.98,1.7142857142857142,1.0,2.0,1.0,0.4081632653061225,2.0,3.142857142857143,0.0,5.0,5.0,2.122448979591837,5.0,1.4285714285714286,0.0,10.0,10.0,2.4489795918367347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.285714285714286,1.0,14.0,13.0,3.020408163265306,7.0,0.2857142857142857,0.0,1.0,1.0,0.40816326530612246,0.0,1.1428571428571428,0.0,4.0,4.0,0.8163265306122448,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4285714285714286,1.0,4.0,3.0,0.7346938775510203,1.0,17.1888095238,9.7075,29.2433333333,19.5358333333,8.5500680272,9.7075,1.1804285714285714,0.0,1.97,1.97,0.9023673469387755,1.97,0.0,0.0,0.0,0.0,0.0,0.0,106.14285714285714,15.0,229.0,214.0,104.16326530612244
12.857142857142858,9.0,32.0,23.0,5.469387755102042,9.0,65.0,2.0,93.0,91.0,36.0,93.0,27.801878765714285,18.9984032,72.64,53.6415968,12.81089178122449,18.9984032,309.5914285714286,53.5,1211.4,1157.9,292.6759183673469,53.5,12.0,1.0,17.0,16.0,6.285714285714286,17.0,2.5714285714285716,2.0,4.0,2.0,0.6530612244897959,2.0,97.14285714285714,57.0,166.0,109.0,45.877551020408156,57.0,2.827142857142857,0.93,3.98,3.05,1.3175510204081633,3.98,1.7142857142857142,1.0,2.0,1.0,0.4081632653061225,2.0,3.142857142857143,0.0,5.0,5.0,2.122448979591837,5.0,1.4285714285714286,0.0,10.0,10.0,2.4489795918367347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.285714285714286,1.0,14.0,13.0,3.020408163265306,7.0,0.2857142857142857,0.0,1.0,1.0,0.40816326530612246,0.0,1.1428571428571428,0.0,4.0,4.0,0.8163265306122448,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4285714285714286,1.0,4.0,3.0,0.7346938775510203,1.0,17.1888095238,9.7075,29.2433333333,19.5358333333,8.5500680272,9.7075,1.1804285714285714,0.0,1.97,1.97,0.9023673469387755,1.97,0.0,0.0,0.0,0.0,0.0,0.0,106.14285714285714,15.0,229.0,214.0,104.16326530612244
12.857142857142858,9.0,32.0,23.0,5.469387755102042,9.0,65.0,2.0,93.0,91.0,36.0,93.0,27.801878765714285,18.9984032,72.64,53.6415968,12.81089178122449,18.9984032,309.5914285714286,53.5,1211.4,1157.9,292.6759183673469,53.5,12.0,1.0,17.0,16.0,6.285714285714286,17.0,2.5714285714285716,2.0,4.0,2.0,0.6530612244897959,2.0,97.14285714285714,57.0,166.0,109.0,45.877551020408156,57.0,2.827142857142857,0.93,3.98,3.05,1.3175510204081633,3.98,1.7142857142857142,1.0,2.0,1.0,0.4081632653061225,2.0,3.142857142857143,0.0,5.0,5.0,2.122448979591837,5.0,1.4285714285714286,0.0,10.0,10.0,2.4489795918367347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.285714285714286,1.0,14.0,13.0,3.020408163265306,7.0,0.2857142857142857,0.0,1.0,1.0,0.40816326530612246,0.0,1.1428571428571428,0.0,4.0,4.0,0.8163265306122448,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4285714285714286,1.0,4.0,3.0,0.7346938775510203,1.0,17.1888095238,9.7075,29.2433333333,19.5358333333,8.5500680272,9.7075,1.1804285714285714,0.0,1.97,1.97,0.9023673469387755,1.97,0.0,0.0,0.0,0.0,0.0,0.0,106.14285714285714,15.0,229.0,214.0,104.16326530612244
12.857142857142858,9.0,32.0,23.0,5.469387755102042,9.0,65.0,2.0,93.0,91.0,36.0,93.0,27.801878765714285,18.9984032,72.64,53.6415968,12.81089178122449,18.9984032,309.5914285714286,53.5,1211.4,1157.9,292.6759183673469,53.5,12.0,1.0,17.0,16.0,6.285714285714286,17.0,2.5714285714285716,2.0,4.0,2.0,0.6530612244897959,2.0,97.14285714285714,57.0,166.0,109.0,45.877551020408156,57.0,2.827142857142857,0.93,3.98,3.05,1.3175510204081633,3.98,1.7142857142857142,1.0,2.0,1.0,0.4081632653061225,2.0,3.142857142857143,0.0,5.0,5.0,2.122448979591837,5.0,1.4285714285714286,0.0,10.0,10.0,2.4489795918367347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.285714285714286,1.0,14.0,13.0,3.020408163265306,7.0,0.2857142857142857,0.0,1.0,1.0,0.40816326530612246,0.0,1.1428571428571428,0.0,4.0,4.0,0.8163265306122448,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4285714285714286,1.0,4.0,3.0,0.7346938775510203,1.0,17.1888095238,9.7075,29.2433333333,19.5358333333,8.5500680272,9.7075,1.1804285714285714,0.0,1.97,1.97,0.9023673469387755,1.97,0.0,0.0,0.0,0.0,0.0,0.0,106.14285714285714,15.0,229.0,214.0,104.16326530612244
12.857142857142858,9.0,32.0,23.0,5.469387755102042,9.0,65.0,2.0,93.0,91.0,36.0,93.0,27.801878765714285,18.9984032,72.64,53.6415968,12.81089178122449,18.9984032,309.5914285714286,53.5,1211.4,1157.9,292.6759183673469,53.5,12.0,1.0,17.0,16.0,6.285714285714286,17.0,2.5714285714285716,2.0,4.0,2.0,0.6530612244897959,2.0,97.14285714285714,57.0,166.0,109.0,45.877551020408156,57.0,2.827142857142857,0.93,3.98,3.05,1.3175510204081633,3.98,1.7142857142857142,1.0,2.0,1.0,0.4081632653061225,2.0,3.142857142857143,0.0,5.0,5.0,2.122448979591837,5.0,1.4285714285714286,0.0,10.0,10.0,2.4489795918367347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.285714285714286,1.0,14.0,13.0,3.020408163265306,7.0,0.2857142857142857,0.0,1.0,1.0,0.40816326530612246,0.0,1.1428571428571428,0.0,4.0,4.0,0.8163265306122448,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4285714285714286,1.0,4.0,3.0,0.7346938775510203,1.0,17.1888095238,9.7075,29.2433333333,19.5358333333,8.5500680272,9.7075,1.1804285714285714,0.0,1.97,1.97,0.9023673469387755,1.97,0.0,0.0,0.0,0.0,0.0,0.0,106.14285714285714,15.0,229.0,214.0,104.16326530612244
15.142857142857142,9.0,32.0,23.0,7.020408163265306,9.0,65.28571428571429,3.0,93.0,90.0,35.59183673469387,93.0,32.40431611428571,18.9984032,72.64,53.6415968,15.321043330612245,18.9984032,299.78000000000003,53.5,1211.4,1157.9,281.46285714285716,53.5,12.0,1.0,17.0,16.0,6.285714285714286,17.0,2.857142857142857,2.0,4.0,2.0,0.979591836734694,2.0,107.71428571428571,57.0,203.0,146.0,57.95918367346939,57.0,2.795714285714286,0.82,3.98,3.16,1.353469387755102,3.98,1.7142857142857142,1.0,2.0,1.0,0.4081632653061225,2.0,3.142857142857143,0.0,5.0,5.0,2.122448979591837,5.0,1.4285714285714286,0.0,10.0,10.0,2.4489795918367347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.285714285714286,1.0,14.0,13.0,3.020408163265306,7.0,0.2857142857142857,0.0,1.0,1.0,0.40816326530612246,0.0,1.1428571428571428,0.0,4.0,4.0,0.8163265306122448,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4285714285714286,1.0,4.0,3.0,0.7346938775510203,1.0,29.721190476199997,9.7075,73.1066666667,63.3991666667,24.791700680285714,9.7075,1.1804285714285714,0.0,1.97,1.97,0.9023673469387755,1.97,0.0,0.0,0.0,0.0,0.0,0.0,106.14285714285714,15.0,229.0,214.0,104.16326530612244
15.142857142857142,9.0,32.0,23.0,7.020408163265306,9.0,65.28571428571429,3.0,93.0,90.0,35.59183673469387,93.0,32.40431611428571,18.9984032,72.64,53.6415968,15.321043330612245,18.9984032,299.78000000000003,53.5,1211.4,1157.9,281.46285714285716,53.5,12.0,1.0,17.0,16.0,6.285714285714286,17.0,2.857142857142857,2.0,4.0,2.0,0.979591836734694,2.0,107.71428571428571,57.0,203.0,146.0,57.95918367346939,57.0,2.795714285714286,0.82,3.98,3.16,1.353469387755102,3.98,1.7142857142857142,1.0,2.0,1.0,0.4081632653061225,2.0,3.142857142857143,0.0,5.0,5.0,2.122448979591837,5.0,1.4285714285714286,0.0,10.0,10.0,2.4489795918367347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.285714285714286,1.0,14.0,13.0,3.020408163265306,7.0,0.2857142857142857,0.0,1.0,1.0,0.40816326530612246,0.0,1.1428571428571428,0.0,4.0,4.0,0.8163265306122448,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4285714285714286,1.0,4.0,3.0,0.7346938775510203,1.0,29.721190476199997,9.7075,73.1066666667,63.3991666667,24.791700680285714,9.7075,1.1804285714285714,0.0,1.97,1.97,0.9023673469387755,1.97,0.0,0.0,0.0,0.0,0.0,0.0,106.14285714285714,15.0,229.0,214.0,104.16326530612244
15.142857142857142,9.0,32.0,23.0,7.020408163265306,9.0,65.28571428571429,3.0,93.0,90.0,35.59183673469387,93.0,32.40431611428571,18.9984032,72.64,53.6415968,15.321043330612245,18.9984032,299.78000000000003,53.5,1211.4,1157.9,281.46285714285716,53.5,12.0,1.0,17.0,16.0,6.285714285714286,17.0,2.857142857142857,2.0,4.0,2.0,0.979591836734694,2.0,107.71428571428571,57.0,203.0,146.0,57.95918367346939,57.0,2.795714285714286,0.82,3.98,3.16,1.353469387755102,3.98,1.7142857142857142,1.0,2.0,1.0,0.4081632653061225,2.0,3.142857142857143,0.0,5.0,5.0,2.122448979591837,5.0,1.4285714285714286,0.0,10.0,10.0,2.4489795918367347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.285714285714286,1.0,14.0,13.0,3.020408163265306,7.0,0.2857142857142857,0.0,1.0,1.0,0.40816326530612246,0.0,1.1428571428571428,0.0,4.0,4.0,0.8163265306122448,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4285714285714286,1.0,4.0,3.0,0.7346938775510203,1.0,29.721190476199997,9.7075,73.1066666667,63.3991666667,24.791700680285714,9.7075,1.1804285714285714,0.0,1.97,1.97,0.9023673469387755,1.97,0.0,0.0,0.0,0.0,0.0,0.0,106.14285714285714,15.0,229.0,214.0,104.16326530612244
15.142857142857142,9.0,32.0,23.0,7.020408163265306,9.0,65.28571428571429,3.0,93.0,90.0,35.59183673469387,93.0,32.40431611428571,18.9984032,72.64,53.6415968,15.321043330612245,18.9984032,299.78000000000003,53.5,1211.4,1157.9,281.46285714285716,53.5,12.0,1.0,17.0,16.0,6.285714285714286,17.0,2.857142857142857,2.0,4.0,2.0,0.979591836734694,2.0,107.71428571428571,57.0,203.0,146.0,57.95918367346939,57.0,2.795714285714286,0.82,3.98,3.16,1.353469387755102,3.98,1.7142857142857142,1.0,2.0,1.0,0.4081632653061225,2.0,3.142857142857143,0.0,5.0,5.0,2.122448979591837,5.0,1.4285714285714286,0.0,10.0,10.0,2.4489795918367347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.285714285714286,1.0,14.0,13.0,3.020408163265306,7.0,0.2857142857142857,0.0,1.0,1.0,0.40816326530612246,0.0,1.1428571428571428,0.0,4.0,4.0,0.8163265306122448,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4285714285714286,1.0,4.0,3.0,0.7346938775510203,1.0,29.721190476199997,9.7075,73.1066666667,63.3991666667,24.791700680285714,9.7075,1.1804285714285714,0.0,1.97,1.97,0.9023673469387755,1.97,0.0,0.0,0.0,0.0,0.0,0.0,106.14285714285714,15.0,229.0,214.0,104.16326530612244
15.142857142857142,9.0,32.0,23.0,7.020408163265306,9.0,65.28571428571429,3.0,93.0,90.0,35.59183673469387,93.0,32.40431611428571,18.9984032,72.64,53.6415968,15.321043330612245,18.9984032,299.78000000000003,53.5,1211.4,1157.9,281.46285714285716,53.5,12.0,1.0,17.0,16.0,6.285714285714286,17.0,2.857142857142857,2.0,4.0,2.0,0.979591836734694,2.0,107.71428571428571,57.0,203.0,146.0,57.95918367346939,57.0,2.795714285714286,0.82,3.98,3.16,1.353469387755102,3.98,1.7142857142857142,1.0,2.0,1.0,0.4081632653061225,2.0,3.142857142857143,0.0,5.0,5.0,2.122448979591837,5.0,1.4285714285714286,0.0,10.0,10.0,2.4489795918367347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.285714285714286,1.0,14.0,13.0,3.020408163265306,7.0,0.2857142857142857,0.0,1.0,1.0,0.40816326530612246,0.0,1.1428571428571428,0.0,4.0,4.0,0.8163265306122448,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4285714285714286,1.0,4.0,3.0,0.7346938775510203,1.0,29.721190476199997,9.7075,73.1066666667,63.3991666667,24.791700680285714,9.7075,1.1804285714285714,0.0,1.97,1.97,0.9023673469387755,1.97,0.0,0.0,0.0,0.0,0.0,0.0,106.14285714285714,15.0,229.0,214.0,104.16326530612244
15.142857142857142,9.0,32.0,23.0,7.020408163265306,9.0,65.28571428571429,3.0,93.0,90.0,35.59183673469387,93.0,32.40431611428571,18.9984032,72.64,53.6415968,15.321043330612245,18.9984032,299.78000000000003,53.5,1211.4,1157.9,281.46285714285716,53.5,12.0,1.0,17.0,16.0,6.285714285714286,17.0,2.857142857142857,2.0,4.0,2.0,0.979591836734694,2.0,107.71428571428571,57.0,203.0,146.0,57.95918367346939,57.0,2.795714285714286,0.82,3.98,3.16,1.353469387755102,3.98,1.7142857142857142,1.0,2.0,1.0,0.4081632653061225,2.0,3.142857142857143,0.0,5.0,5.0,2.122448979591837,5.0,1.4285714285714286,0.0,10.0,10.0,2.4489795918367347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.285714285714286,1.0,14.0,13.0,3.020408163265306,7.0,0.2857142857142857,0.0,1.0,1.0,0.40816326530612246,0.0,1.1428571428571428,0.0,4.0,4.0,0.8163265306122448,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4285714285714286,1.0,4.0,3.0,0.7346938775510203,1.0,29.721190476199997,9.7075,73.1066666667,63.3991666667,24.791700680285714,9.7075,1.1804285714285714,0.0,1.97,1.97,0.9023673469387755,1.97,0.0,0.0,0.0,0.0,0.0,0.0,106.14285714285714,15.0,229.0,214.0,104.16326530612244
15.142857142857142,9.0,32.0,23.0,7.020408163265306,9.0,65.28571428571429,3.0,93.0,90.0,35.59183673469387,93.0,32.40431611428571,18.9984032,72.64,53.6415968,15.321043330612245,18.9984032,299.78000000000003,53.5,1211.4,1157.9,281.46285714285716,53.5,12.0,1.0,17.0,16.0,6.285714285714286,17.0,2.857142857142857,2.0,4.0,2.0,0.979591836734694,2.0,107.71428571428571,57.0,203.0,146.0,57.95918367346939,57.0,2.795714285714286,0.82,3.98,3.16,1.353469387755102,3.98,1.7142857142857142,1.0,2.0,1.0,0.4081632653061225,2.0,3.142857142857143,0.0,5.0,5.0,2.122448979591837,5.0,1.4285714285714286,0.0,10.0,10.0,2.4489795918367347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.285714285714286,1.0,14.0,13.0,3.020408163265306,7.0,0.2857142857142857,0.0,1.0,1.0,0.40816326530612246,0.0,1.1428571428571428,0.0,4.0,4.0,0.8163265306122448,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4285714285714286,1.0,4.0,3.0,0.7346938775510203,1.0,29.721190476199997,9.7075,73.1066666667,63.3991666667,24.791700680285714,9.7075,1.1804285714285714,0.0,1.97,1.97,0.9023673469387755,1.97,0.0,0.0,0.0,0.0,0.0,0.0,106.14285714285714,15.0,229.0,214.0,104.16326530612244
15.142857142857142,9.0,32.0,23.0,7.020408163265306,9.0,65.28571428571429,3.0,93.0,90.0,35.59183673469387,93.0,32.40431611428571,18.9984032,72.64,53.6415968,15.321043330612245,18.9984032,299.78000000000003,53.5,1211.4,1157.9,281.46285714285716,53.5,12.0,1.0,17.0,16.0,6.285714285714286,17.0,2.857142857142857,2.0,4.0,2.0,0.979591836734694,2.0,107.71428571428571,57.0,203.0,146.0,57.95918367346939,57.0,2.795714285714286,0.82,3.98,3.16,1.353469387755102,3.98,1.7142857142857142,1.0,2.0,1.0,0.4081632653061225,2.0,3.142857142857143,0.0,5.0,5.0,2.122448979591837,5.0,1.4285714285714286,0.0,10.0,10.0,2.4489795918367347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.285714285714286,1.0,14.0,13.0,3.020408163265306,7.0,0.2857142857142857,0.0,1.0,1.0,0.40816326530612246,0.0,1.1428571428571428,0.0,4.0,4.0,0.8163265306122448,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4285714285714286,1.0,4.0,3.0,0.7346938775510203,1.0,29.721190476199997,9.7075,73.1066666667,63.3991666667,24.791700680285714,9.7075,1.1804285714285714,0.0,1.97,1.97,0.9023673469387755,1.97,0.0,0.0,0.0,0.0,0.0,0.0,106.14285714285714,15.0,229.0,214.0,104.16326530612244
20.285714285714285,9.0,37.0,28.0,12.897959183673468,9.0,65.57142857142857,4.0,93.0,89.0,35.183673469387756,93.0,45.65274468571429,18.9984032,85.4678,66.4693968,30.46210455510204,18.9984032,292.90285714285716,53.5,1211.4,1157.9,273.60326530612247,53.5,12.0,1.0,17.0,16.0,6.285714285714286,17.0,3.142857142857143,2.0,5.0,3.0,1.3061224489795917,2.0,112.57142857142857,57.0,220.0,163.0,63.51020408163265,57.0,2.795714285714286,0.82,3.98,3.16,1.353469387755102,3.98,1.7142857142857142,1.0,2.0,1.0,0.4081632653061225,2.0,3.142857142857143,0.0,5.0,5.0,2.122448979591837,5.0,1.4285714285714286,0.0,10.0,10.0,2.4489795918367347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.285714285714286,1.0,14.0,13.0,3.020408163265306,7.0,0.2857142857142857,0.0,1.0,1.0,0.40816326530612246,0.0,1.1428571428571428,0.0,4.0,4.0,0.8163265306122448,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4285714285714286,1.0,4.0,3.0,0.7346938775510203,1.0,34.75428571428571,9.7075,90.7225,81.015,31.981836734693875,9.7075,1.1804285714285714,0.0,1.97,1.97,0.9023673469387755,1.97,0.0,0.0,0.0,0.0,0.0,0.0,106.14285714285714,15.0,229.0,214.0,104.16326530612244
20.285714285714285,9.0,37.0,28.0,12.897959183673468,9.0,65.57142857142857,4.0,93.0,89.0,35.183673469387756,93.0,45.65274468571429,18.9984032,85.4678,66.4693968,30.46210455510204,18.9984032,292.90285714285716,53.5,1211.4,1157.9,273.60326530612247,53.5,12.0,1.0,17.0,16.0,6.285714285714286,17.0,3.142857142857143,2.0,5.0,3.0,1.3061224489795917,2.0,112.57142857142857,57.0,220.0,163.0,63.51020408163265,57.0,2.795714285714286,0.82,3.98,3.16,1.353469387755102,3.98,1.7142857142857142,1.0,2.0,1.0,0.4081632653061225,2.0,3.142857142857143,0.0,5.0,5.0,2.122448979591837,5.0,1.4285714285714286,0.0,10.0,10.0,2.4489795918367347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.285714285714286,1.0,14.0,13.0,3.020408163265306,7.0,0.2857142857142857,0.0,1.0,1.0,0.40816326530612246,0.0,1.1428571428571428,0.0,4.0,4.0,0.8163265306122448,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4285714285714286,1.0,4.0,3.0,0.7346938775510203,1.0,34.75428571428571,9.7075,90.7225,81.015,31.981836734693875,9.7075,1.1804285714285714,0.0,1.97,1.97,0.9023673469387755,1.97,0.0,0.0,0.0,0.0,0.0,0.0,106.14285714285714,15.0,229.0,214.0,104.16326530612244
20.285714285714285,9.0,37.0,28.0,12.897959183673468,9.0,65.57142857142857,4.0,93.0,89.0,35.183673469387756,93.0,45.65274468571429,18.9984032,85.4678,66.4693968,30.46210455510204,18.9984032,292.90285714285716,53.5,1211.4,1157.9,273.60326530612247,53.5,12.0,1.0,17.0,16.0,6.285714285714286,17.0,3.142857142857143,2.0,5.0,3.0,1.3061224489795917,2.0,112.57142857142857,57.0,220.0,163.0,63.51020408163265,57.0,2.795714285714286,0.82,3.98,3.16,1.353469387755102,3.98,1.7142857142857142,1.0,2.0,1.0,0.4081632653061225,2.0,3.142857142857143,0.0,5.0,5.0,2.122448979591837,5.0,1.4285714285714286,0.0,10.0,10.0,2.4489795918367347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.285714285714286,1.0,14.0,13.0,3.020408163265306,7.0,0.2857142857142857,0.0,1.0,1.0,0.40816326530612246,0.0,1.1428571428571428,0.0,4.0,4.0,0.8163265306122448,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4285714285714286,1.0,4.0,3.0,0.7346938775510203,1.0,34.75428571428571,9.7075,90.7225,81.015,31.981836734693875,9.7075,1.1804285714285714,0.0,1.97,1.97,0.9023673469387755,1.97,0.0,0.0,0.0,0.0,0.0,0.0,106.14285714285714,15.0,229.0,214.0,104.16326530612244
