A1 NumberofProtons,A2 NumberofProtons,B NumberofProtons,X1 NumberofProtons,X2 NumberofProtons,X3 NumberofProtons,X4 NumberofProtons,Ion NumberofProtons,A1 NumberofNeutrons,A2 NumberofNeutrons,B NumberofNeutrons,X1 NumberofNeutrons,X2 NumberofNeutrons,X3 NumberofNeutrons,X4 NumberofNeutrons,Ion NumberofNeutrons,A1 Number of Shells,A2 Number of Shells,B Number of Shells,X1 Number of Shells,X2 Number of Shells,X3 Number of Shells,X4 Number of Shells,Ion Number of Shells,A1 Specific Heat,A2 Specific Heat,B Specific Heat,X1 Specific Heat,X2 Specific Heat,X3 Specific Heat,X4 Specific Heat,Ion Specific Heat,A1 Density,A2 Density,B Density,X1 Density,X2 Density,X3 Density,X4 Density,Ion Density,A1 AtomicRadius,A2 AtomicRadius,B AtomicRadius,X1 AtomicRadius,X2 AtomicRadius,X3 AtomicRadius,X4 AtomicRadius,Ion AtomicRadius,A1 Firstlonization,A2 Firstlonization,B Firstlonization,X1 Firstlonization,X2 Firstlonization,X3 Firstlonization,X4 Firstlonization,Ion Firstlonization,A1 AtomicMass,A2  AtomicMass,B  AtomicMass,X1 AtomicMass,X2 AtomicMass,X3 AtomicMass,X4 AtomicMass,Ion AtomicMass,A1 Melting Point,A2 Melting Point,B Melting Point,X1 Melting Point,X2 Melting Point,X3 Melting Point,X4 Melting Point,Ion Melting Point,Adsorption energy(ev)
37,37,32,9,9,9,35,13,48,48,41,10,10,10,45,14,5,5,4,2,2,2,4,3,0.363,0.363,0.32,0.824,0.824,0.824,0.474,0.897,1.53,1.53,5.32,0.0017,0.0017,0.0017,3.12,2.7,3,3,1.5,0.57,0.57,0.57,1.1,1.8,4.1771,4.1771,7.8994,17.4228,17.4228,17.4228,11.8138,5.9858,85.468,85.468,72.64,18.998,18.998,18.998,79.904,26.982,312.79,312.79,1211.45,53.63,53.63,53.63,266.05,933.4,0
3,3,50,18,18,18,18,30,4,4,69,18,18,18,18,35,2,2,5,3,3,3,3,4,3.582,3.582,0.228,0.479,0.479,0.479,0.479,0.388,0.534,0.534,7.29,0.00321,0.00321,0.00321,0.00321,7.13,2.1,2.1,1.7,0.97,0.97,0.97,0.97,1.5,5.3917,5.3917,7.3439,12.9676,12.9676,12.9676,12.9676,9.3942,6.941,6.941,118.71,35.453,35.453,35.453,35.453,65.38,453.85,453.85,505.21,172.31,172.31,172.31,172.31,692.88,0
3,3,50,9,9,9,9,13,4,4,69,10,10,10,10,14,2,2,5,2,2,2,2,3,3.582,3.582,0.228,0.824,0.824,0.824,0.824,0.897,0.534,0.534,7.29,0.0017,0.0017,0.0017,0.0017,2.7,2.1,2.1,1.7,0.57,0.57,0.57,0.57,1.8,5.3917,5.3917,7.3439,17.4228,17.4228,17.4228,17.4228,5.9858,6.941,6.941,118.71,18.998,18.998,18.998,18.998,26.982,453.85,453.85,505.21,53.63,53.63,53.63,53.63,933.4,0
3,3,50,9,9,9,9,30,4,4,69,10,10,10,10,35,2,2,5,2,2,2,2,4,3.582,3.582,0.228,0.824,0.824,0.824,0.824,0.388,0.534,0.534,7.29,0.0017,0.0017,0.0017,0.0017,7.13,2.1,2.1,1.7,0.57,0.57,0.57,0.57,1.5,5.3917,5.3917,7.3439,17.4228,17.4228,17.4228,17.4228,9.3942,6.941,6.941,118.71,18.998,18.998,18.998,18.998,65.38,453.85,453.85,505.21,53.63,53.63,53.63,53.63,692.88,0
19,19,82,18,18,18,18,13,20,20,125,18,18,18,18,14,4,4,6,3,3,3,3,3,0.757,0.757,0.129,0.479,0.479,0.479,0.479,0.897,0.862,0.862,11.3,0.00321,0.00321,0.00321,0.00321,2.7,2.8,2.8,1.8,0.97,0.97,0.97,0.97,1.8,4.3407,4.3407,7.4167,12.9676,12.9676,12.9676,12.9676,5.9858,39.098,39.098,207.2,35.453,35.453,35.453,35.453,26.982,336.5,336.5,600.75,172.31,172.31,172.31,172.31,933.4,0
37,37,82,9,9,9,9,13,48,48,125,10,10,10,10,14,5,5,6,2,2,2,2,3,0.363,0.363,0.129,0.824,0.824,0.824,0.824,0.897,1.53,1.53,11.3,0.0017,0.0017,0.0017,0.0017,2.7,3,3,1.8,0.57,0.57,0.57,0.57,1.8,4.1771,4.1771,7.4167,17.4228,17.4228,17.4228,17.4228,5.9858,85.468,85.468,207.2,18.998,18.998,18.998,18.998,26.982,312.79,312.79,600.75,53.63,53.63,53.63,53.63,933.4,0
3,3,32,35,35,35,35,30,4,4,41,45,45,45,45,35,2,2,4,4,4,4,4,4,3.582,3.582,0.32,0.474,0.474,0.474,0.474,0.388,0.534,0.534,5.32,3.12,3.12,3.12,3.12,7.13,2.1,2.1,1.5,1.1,1.1,1.1,1.1,1.5,5.3917,5.3917,7.8994,11.8138,11.8138,11.8138,11.8138,9.3942,6.941,6.941,72.64,79.904,79.904,79.904,79.904,65.38,453.85,453.85,1211.45,266.05,266.05,266.05,266.05,692.88,0
3,3,50,18,18,18,35,30,4,4,69,18,18,18,45,35,2,2,5,3,3,3,4,4,3.582,3.582,0.228,0.479,0.479,0.479,0.474,0.388,0.534,0.534,7.29,0.00321,0.00321,0.00321,3.12,7.13,2.1,2.1,1.7,0.97,0.97,0.97,1.1,1.5,5.3917,5.3917,7.3439,12.9676,12.9676,12.9676,11.8138,9.3942,6.941,6.941,118.71,35.453,35.453,35.453,79.904,65.38,453.85,453.85,505.21,172.31,172.31,172.31,266.05,692.88,0
3,3,32,18,18,18,18,30,4,4,41,18,18,18,18,35,2,2,4,3,3,3,3,4,3.582,3.582,0.32,0.479,0.479,0.479,0.479,0.388,0.534,0.534,5.32,0.00321,0.00321,0.00321,0.00321,7.13,2.1,2.1,1.5,0.97,0.97,0.97,0.97,1.5,5.3917,5.3917,7.8994,12.9676,12.9676,12.9676,12.9676,9.3942,6.941,6.941,72.64,35.453,35.453,35.453,35.453,65.38,453.85,453.85,1211.45,172.31,172.31,172.31,172.31,692.88,0
37,37,82,9,9,9,53,13,48,48,125,10,10,10,74,14,5,5,6,2,2,2,5,3,0.363,0.363,0.129,0.824,0.824,0.824,0.214,0.897,1.53,1.53,11.3,0.0017,0.0017,0.0017,4.93,2.7,3,3,1.8,0.57,0.57,0.57,1.3,1.8,4.1771,4.1771,7.4167,17.4228,17.4228,17.4228,10.4513,5.9858,85.468,85.468,207.2,18.998,18.998,18.998,126.904,26.982,312.79,312.79,600.75,53.63,53.63,53.63,386.65,933.4,0
3,3,50,18,18,18,18,13,4,4,69,18,18,18,18,14,2,2,5,3,3,3,3,3,3.582,3.582,0.228,0.479,0.479,0.479,0.479,0.897,0.534,0.534,7.29,0.00321,0.00321,0.00321,0.00321,2.7,2.1,2.1,1.7,0.97,0.97,0.97,0.97,1.8,5.3917,5.3917,7.3439,12.9676,12.9676,12.9676,12.9676,5.9858,6.941,6.941,118.71,35.453,35.453,35.453,35.453,26.982,453.85,453.85,505.21,172.31,172.31,172.31,172.31,933.4,0
19,19,32,9,9,18,18,30,20,20,41,10,10,18,18,35,4,4,4,2,2,3,3,4,0.757,0.757,0.32,0.824,0.824,0.479,0.479,0.388,0.862,0.862,5.32,0.0017,0.0017,0.00321,0.00321,7.13,2.8,2.8,1.5,0.57,0.57,0.97,0.97,1.5,4.3407,4.3407,7.8994,17.4228,17.4228,12.9676,12.9676,9.3942,39.098,39.098,72.64,18.998,18.998,35.453,35.453,65.38,336.5,336.5,1211.45,53.63,53.63,172.31,172.31,692.88,0
3,3,82,18,18,18,18,12,4,4,125,18,18,18,18,12,2,2,6,3,3,3,3,3,3.582,3.582,0.129,0.479,0.479,0.479,0.479,1.023,0.534,0.534,11.3,0.00321,0.00321,0.00321,0.00321,1.74,2.1,2.1,1.8,0.97,0.97,0.97,0.97,1.7,5.3917,5.3917,7.4167,12.9676,12.9676,12.9676,12.9676,7.6462,6.941,6.941,207.2,35.453,35.453,35.453,35.453,24.305,453.85,453.85,600.75,172.31,172.31,172.31,172.31,923.15,0
3,3,32,9,9,9,18,30,4,4,41,10,10,10,18,35,2,2,4,2,2,2,3,4,3.582,3.582,0.32,0.824,0.824,0.824,0.479,0.388,0.534,0.534,5.32,0.0017,0.0017,0.0017,0.00321,7.13,2.1,2.1,1.5,0.57,0.57,0.57,0.97,1.5,5.3917,5.3917,7.8994,17.4228,17.4228,17.4228,12.9676,9.3942,6.941,6.941,72.64,18.998,18.998,18.998,35.453,65.38,453.85,453.85,1211.45,53.63,53.63,53.63,172.31,692.88,0
11,11,50,9,9,9,9,13,12,12,69,10,10,10,10,14,3,3,5,2,2,2,2,3,1.228,1.228,0.228,0.824,0.824,0.824,0.824,0.897,0.971,0.971,7.29,0.0017,0.0017,0.0017,0.0017,2.7,2.2,2.2,1.7,0.57,0.57,0.57,0.57,1.8,5.1391,5.1391,7.3439,17.4228,17.4228,17.4228,17.4228,5.9858,22.99,22.99,118.71,18.998,18.998,18.998,18.998,26.982,371.15,371.15,505.21,53.63,53.63,53.63,53.63,933.4,0
11,11,82,9,9,9,9,30,12,12,125,10,10,10,10,35,3,3,6,2,2,2,2,4,1.228,1.228,0.129,0.824,0.824,0.824,0.824,0.388,0.971,0.971,11.3,0.0017,0.0017,0.0017,0.0017,7.13,2.2,2.2,1.8,0.57,0.57,0.57,0.57,1.5,5.1391,5.1391,7.4167,17.4228,17.4228,17.4228,17.4228,9.3942,22.99,22.99,207.2,18.998,18.998,18.998,18.998,65.38,371.15,371.15,600.75,53.63,53.63,53.63,53.63,692.88,0
3,3,50,18,18,18,35,13,4,4,69,18,18,18,45,14,2,2,5,3,3,3,4,3,3.582,3.582,0.228,0.479,0.479,0.479,0.474,0.897,0.534,0.534,7.29,0.00321,0.00321,0.00321,3.12,2.7,2.1,2.1,1.7,0.97,0.97,0.97,1.1,1.8,5.3917,5.3917,7.3439,12.9676,12.9676,12.9676,11.8138,5.9858,6.941,6.941,118.71,35.453,35.453,35.453,79.904,26.982,453.85,453.85,505.21,172.31,172.31,172.31,266.05,933.4,0
19,19,32,9,9,9,9,13,20,20,41,10,10,10,10,14,4,4,4,2,2,2,2,3,0.757,0.757,0.32,0.824,0.824,0.824,0.824,0.897,0.862,0.862,5.32,0.0017,0.0017,0.0017,0.0017,2.7,2.8,2.8,1.5,0.57,0.57,0.57,0.57,1.8,4.3407,4.3407,7.8994,17.4228,17.4228,17.4228,17.4228,5.9858,39.098,39.098,72.64,18.998,18.998,18.998,18.998,26.982,336.5,336.5,1211.45,53.63,53.63,53.63,53.63,933.4,0
19,19,82,9,9,9,9,30,20,20,125,10,10,10,10,35,4,4,6,2,2,2,2,4,0.757,0.757,0.129,0.824,0.824,0.824,0.824,0.388,0.862,0.862,11.3,0.0017,0.0017,0.0017,0.0017,7.13,2.8,2.8,1.8,0.57,0.57,0.57,0.57,1.5,4.3407,4.3407,7.4167,17.4228,17.4228,17.4228,17.4228,9.3942,39.098,39.098,207.2,18.998,18.998,18.998,18.998,65.38,336.5,336.5,600.75,53.63,53.63,53.63,53.63,692.88,0
3,3,32,18,18,18,18,13,4,4,41,18,18,18,18,14,2,2,4,3,3,3,3,3,3.582,3.582,0.32,0.479,0.479,0.479,0.479,0.897,0.534,0.534,5.32,0.00321,0.00321,0.00321,0.00321,2.7,2.1,2.1,1.5,0.97,0.97,0.97,0.97,1.8,5.3917,5.3917,7.8994,12.9676,12.9676,12.9676,12.9676,5.9858,6.941,6.941,72.64,35.453,35.453,35.453,35.453,26.982,453.85,453.85,1211.45,172.31,172.31,172.31,172.31,933.4,0
11,11,32,18,18,18,18,30,12,12,41,18,18,18,18,35,3,3,4,3,3,3,3,4,1.228,1.228,0.32,0.479,0.479,0.479,0.479,0.388,0.971,0.971,5.32,0.00321,0.00321,0.00321,0.00321,7.13,2.2,2.2,1.5,0.97,0.97,0.97,0.97,1.5,5.1391,5.1391,7.8994,12.9676,12.9676,12.9676,12.9676,9.3942,22.99,22.99,72.64,35.453,35.453,35.453,35.453,65.38,371.15,371.15,1211.45,172.31,172.31,172.31,172.31,692.88,0
37,37,82,18,18,18,18,13,48,48,125,18,18,18,18,14,5,5,6,3,3,3,3,3,0.363,0.363,0.129,0.479,0.479,0.479,0.479,0.897,1.53,1.53,11.3,0.00321,0.00321,0.00321,0.00321,2.7,3,3,1.8,0.97,0.97,0.97,0.97,1.8,4.1771,4.1771,7.4167,12.9676,12.9676,12.9676,12.9676,5.9858,85.468,85.468,207.2,35.453,35.453,35.453,35.453,26.982,312.79,312.79,600.75,172.31,172.31,172.31,172.31,933.4,0
11,11,82,35,35,35,35,13,12,12,125,45,45,45,45,14,3,3,6,4,4,4,4,3,1.228,1.228,0.129,0.474,0.474,0.474,0.474,0.897,0.971,0.971,11.3,3.12,3.12,3.12,3.12,2.7,2.2,2.2,1.8,1.1,1.1,1.1,1.1,1.8,5.1391,5.1391,7.4167,11.8138,11.8138,11.8138,11.8138,5.9858,22.99,22.99,207.2,79.904,79.904,79.904,79.904,26.982,371.15,371.15,600.75,266.05,266.05,266.05,266.05,933.4,0
37,37,82,9,9,9,53,30,48,48,125,10,10,10,74,35,5,5,6,2,2,2,5,4,0.363,0.363,0.129,0.824,0.824,0.824,0.214,0.388,1.53,1.53,11.3,0.0017,0.0017,0.0017,4.93,7.13,3,3,1.8,0.57,0.57,0.57,1.3,1.5,4.1771,4.1771,7.4167,17.4228,17.4228,17.4228,10.4513,9.3942,85.468,85.468,207.2,18.998,18.998,18.998,126.904,65.38,312.79,312.79,600.75,53.63,53.63,53.63,386.65,692.88,0
11,19,32,18,18,18,18,30,12,20,41,18,18,18,18,35,3,4,4,3,3,3,3,4,1.228,0.757,0.32,0.479,0.479,0.479,0.479,0.388,0.971,0.862,5.32,0.00321,0.00321,0.00321,0.00321,7.13,2.2,2.8,1.5,0.97,0.97,0.97,0.97,1.5,5.1391,4.3407,7.8994,12.9676,12.9676,12.9676,12.9676,9.3942,22.99,39.098,72.64,35.453,35.453,35.453,35.453,65.38,371.15,336.5,1211.45,172.31,172.31,172.31,172.31,692.88,0
3,3,50,35,35,35,35,30,4,4,69,45,45,45,45,35,2,2,5,4,4,4,4,4,3.582,3.582,0.228,0.474,0.474,0.474,0.474,0.388,0.534,0.534,7.29,3.12,3.12,3.12,3.12,7.13,2.1,2.1,1.7,1.1,1.1,1.1,1.1,1.5,5.3917,5.3917,7.3439,11.8138,11.8138,11.8138,11.8138,9.3942,6.941,6.941,118.71,79.904,79.904,79.904,79.904,65.38,453.85,453.85,505.21,266.05,266.05,266.05,266.05,692.88,0
11,11,50,18,18,18,18,30,12,12,69,18,18,18,18,35,3,3,5,3,3,3,3,4,1.228,1.228,0.228,0.479,0.479,0.479,0.479,0.388,0.971,0.971,7.29,0.00321,0.00321,0.00321,0.00321,7.13,2.2,2.2,1.7,0.97,0.97,0.97,0.97,1.5,5.1391,5.1391,7.3439,12.9676,12.9676,12.9676,12.9676,9.3942,22.99,22.99,118.71,35.453,35.453,35.453,35.453,65.38,371.15,371.15,505.21,172.31,172.31,172.31,172.31,692.88,0
11,11,50,18,18,18,35,30,12,12,69,18,18,18,45,35,3,3,5,3,3,3,4,4,1.228,1.228,0.228,0.479,0.479,0.479,0.474,0.388,0.971,0.971,7.29,0.00321,0.00321,0.00321,3.12,7.13,2.2,2.2,1.7,0.97,0.97,0.97,1.1,1.5,5.1391,5.1391,7.3439,12.9676,12.9676,12.9676,11.8138,9.3942,22.99,22.99,118.71,35.453,35.453,35.453,79.904,65.38,371.15,371.15,505.21,172.31,172.31,172.31,266.05,692.88,0
3,11,32,9,9,9,9,13,4,12,41,10,10,10,10,14,2,3,4,2,2,2,2,3,3.582,1.228,0.32,0.824,0.824,0.824,0.824,0.897,0.534,0.971,5.32,0.0017,0.0017,0.0017,0.0017,2.7,2.1,2.2,1.5,0.57,0.57,0.57,0.57,1.8,5.3917,5.1391,7.8994,17.4228,17.4228,17.4228,17.4228,5.9858,6.941,22.99,72.64,18.998,18.998,18.998,18.998,26.982,453.85,371.15,1211.45,53.63,53.63,53.63,53.63,933.4,0
11,11,32,35,35,35,35,30,12,12,41,45,45,45,45,35,3,3,4,4,4,4,4,4,1.228,1.228,0.32,0.474,0.474,0.474,0.474,0.388,0.971,0.971,5.32,3.12,3.12,3.12,3.12,7.13,2.2,2.2,1.5,1.1,1.1,1.1,1.1,1.5,5.1391,5.1391,7.8994,11.8138,11.8138,11.8138,11.8138,9.3942,22.99,22.99,72.64,79.904,79.904,79.904,79.904,65.38,371.15,371.15,1211.45,266.05,266.05,266.05,266.05,692.88,0
3,3,50,35,35,35,35,13,4,4,69,45,45,45,45,14,2,2,5,4,4,4,4,3,3.582,3.582,0.228,0.474,0.474,0.474,0.474,0.897,0.534,0.534,7.29,3.12,3.12,3.12,3.12,2.7,2.1,2.1,1.7,1.1,1.1,1.1,1.1,1.8,5.3917,5.3917,7.3439,11.8138,11.8138,11.8138,11.8138,5.9858,6.941,6.941,118.71,79.904,79.904,79.904,79.904,26.982,453.85,453.85,505.21,266.05,266.05,266.05,266.05,933.4,0
3,3,32,35,35,35,35,13,4,4,41,45,45,45,45,14,2,2,4,4,4,4,4,3,3.582,3.582,0.32,0.474,0.474,0.474,0.474,0.897,0.534,0.534,5.32,3.12,3.12,3.12,3.12,2.7,2.1,2.1,1.5,1.1,1.1,1.1,1.1,1.8,5.3917,5.3917,7.8994,11.8138,11.8138,11.8138,11.8138,5.9858,6.941,6.941,72.64,79.904,79.904,79.904,79.904,26.982,453.85,453.85,1211.45,266.05,266.05,266.05,266.05,933.4,0
19,19,32,18,18,18,18,30,20,20,41,18,18,18,18,35,4,4,4,3,3,3,3,4,0.757,0.757,0.32,0.479,0.479,0.479,0.479,0.388,0.862,0.862,5.32,0.00321,0.00321,0.00321,0.00321,7.13,2.8,2.8,1.5,0.97,0.97,0.97,0.97,1.5,4.3407,4.3407,7.8994,12.9676,12.9676,12.9676,12.9676,9.3942,39.098,39.098,72.64,35.453,35.453,35.453,35.453,65.38,336.5,336.5,1211.45,172.31,172.31,172.31,172.31,692.88,0
19,19,82,18,18,18,18,30,20,20,125,18,18,18,18,35,4,4,6,3,3,3,3,4,0.757,0.757,0.129,0.479,0.479,0.479,0.479,0.388,0.862,0.862,11.3,0.00321,0.00321,0.00321,0.00321,7.13,2.8,2.8,1.8,0.97,0.97,0.97,0.97,1.5,4.3407,4.3407,7.4167,12.9676,12.9676,12.9676,12.9676,9.3942,39.098,39.098,207.2,35.453,35.453,35.453,35.453,65.38,336.5,336.5,600.75,172.31,172.31,172.31,172.31,692.88,0
11,11,50,18,18,18,18,13,12,12,69,18,18,18,18,14,3,3,5,3,3,3,3,3,1.228,1.228,0.228,0.479,0.479,0.479,0.479,0.897,0.971,0.971,7.29,0.00321,0.00321,0.00321,0.00321,2.7,2.2,2.2,1.7,0.97,0.97,0.97,0.97,1.8,5.1391,5.1391,7.3439,12.9676,12.9676,12.9676,12.9676,5.9858,22.99,22.99,118.71,35.453,35.453,35.453,35.453,26.982,371.15,371.15,505.21,172.31,172.31,172.31,172.31,933.4,0
3,3,32,9,9,9,18,13,4,4,41,10,10,10,18,14,2,2,4,2,2,2,3,3,3.582,3.582,0.32,0.824,0.824,0.824,0.479,0.897,0.534,0.534,5.32,0.0017,0.0017,0.0017,0.00321,2.7,2.1,2.1,1.5,0.57,0.57,0.57,0.97,1.8,5.3917,5.3917,7.8994,17.4228,17.4228,17.4228,12.9676,5.9858,6.941,6.941,72.64,18.998,18.998,18.998,35.453,26.982,453.85,453.85,1211.45,53.63,53.63,53.63,172.31,933.4,0
3,3,82,35,35,35,35,30,4,4,125,45,45,45,45,35,2,2,6,4,4,4,4,4,3.582,3.582,0.129,0.474,0.474,0.474,0.474,0.388,0.534,0.534,11.3,3.12,3.12,3.12,3.12,7.13,2.1,2.1,1.8,1.1,1.1,1.1,1.1,1.5,5.3917,5.3917,7.4167,11.8138,11.8138,11.8138,11.8138,9.3942,6.941,6.941,207.2,79.904,79.904,79.904,79.904,65.38,453.85,453.85,600.75,266.05,266.05,266.05,266.05,692.88,0
19,19,50,18,18,18,18,30,20,20,69,18,18,18,18,35,4,4,5,3,3,3,3,4,0.757,0.757,0.228,0.479,0.479,0.479,0.479,0.388,0.862,0.862,7.29,0.00321,0.00321,0.00321,0.00321,7.13,2.8,2.8,1.7,0.97,0.97,0.97,0.97,1.5,4.3407,4.3407,7.3439,12.9676,12.9676,12.9676,12.9676,9.3942,39.098,39.098,118.71,35.453,35.453,35.453,35.453,65.38,336.5,336.5,505.21,172.31,172.31,172.31,172.31,692.88,0
11,11,32,18,18,18,18,13,12,12,41,18,18,18,18,14,3,3,4,3,3,3,3,3,1.228,1.228,0.32,0.479,0.479,0.479,0.479,0.897,0.971,0.971,5.32,0.00321,0.00321,0.00321,0.00321,2.7,2.2,2.2,1.5,0.97,0.97,0.97,0.97,1.8,5.1391,5.1391,7.8994,12.9676,12.9676,12.9676,12.9676,5.9858,22.99,22.99,72.64,35.453,35.453,35.453,35.453,26.982,371.15,371.15,1211.45,172.31,172.31,172.31,172.31,933.4,0
